filter,zp,wave
# ANS, Vega zero-points
ANS_15N,-21.0972,1550
ANS_15W,-21.0972,1550
ANS_18,-21.0972,1800
ANS_22,-21.0972,2200
ANS_25,-21.0972,2500
ANS_33,-21.0972,3300
# TD1, Vega zero-points
TD1_1565,-20.4522,1565
TD1_1965,-20.6125,1965
TD1_2365,-20.9513,2365
TD1_2740,-21.0759,2740
# Mermilliod 1991, Vega zero-points
U,-20.9874,3600
B,-20.5309,4400
V,-21.1036,5500
# 2MASS, Vega zero-points
2MASS_J,-23.7615,12350
2MASS_H,-24.8644,16620
2MASS_K,-25.9206,21590
# WISE, Vega zero-points
W1,-27.7183,33526
W2,-29.0427,46028
W3,-32.9652,115608
W4,-35.7332,220883
# Swift_UVOT, AB zero-points
Swift_UVW1,-19.551910697003798,2580
Swift_UVM2,-19.16467519947472,2246
Swift_UVW2,-19.00417325519513,2055
